LotArea,BldgArea,ResArea,NumBldgs,NumFloors,LotDepth,BldgDepth,BuiltFAR,ResidFAR,FacilFAR
2458.0,2270.0,2270.0,1.0,2.0,100.0,50.0,0.92,0.9,2.0
2500.0,1672.0,1216.0,1.0,2.0,100.0,38.0,0.67,0.9,2.0
2500.0,1026.0,1026.0,1.0,2.0,100.0,26.0,0.41,0.9,2.0
2900.0,7496.0,7496.0,1.0,4.0,100.0,65.0,2.58,3.44,4.8
3230.0,13300.0,13300.0,1.0,5.0,85.0,70.0,4.12,3.44,4.8
6710.0,2706.0,1650.0,2.0,1.75,110.0,48.0,0.4,0.9,2.0
1650.0,2112.0,1408.0,1.0,2.0,100.0,45.0,1.28,2.43,4.8
2500.0,2517.0,1247.0,1.0,1.75,100.0,34.0,1.01,0.6,1.0
4750.0,17290.0,17290.0,1.0,5.0,95.0,82.0,3.64,6.02,6.5
1800.0,1680.0,1140.0,1.0,2.0,100.0,30.0,0.93,0.9,2.0
1842.0,1620.0,1296.0,1.0,2.0,100.0,36.0,0.88,0.9,2.0
2375.0,2655.0,2124.0,1.0,2.0,95.0,59.0,1.12,0.9,2.0
2610.0,2400.0,2400.0,1.0,3.0,96.71,40.0,0.92,3.44,4.8
2500.0,2142.0,1394.0,2.0,2.0,100.0,38.0,0.86,0.9,2.0
2000.0,2850.0,2850.0,1.0,3.0,100.0,47.5,1.43,3.44,4.8
1500.0,2475.0,1800.0,1.0,2.0,75.0,45.0,1.65,0.9,2.0
1930.0,3087.0,3087.0,1.0,3.0,63.0,49.0,1.6,1.25,2.0
2151.0,1522.0,870.0,1.0,1.0,102.42,45.0,0.71,0.9,2.0
6650.0,23250.0,23250.0,2.0,5.0,95.0,83.0,3.5,6.02,6.5
4000.0,1560.0,1560.0,1.0,2.5,100.0,34.0,0.39,0.6,1.0
2343.0,2600.0,2600.0,1.0,2.0,95.0,65.0,1.11,0.9,2.0
1907.0,2604.0,2604.0,1.0,3.0,100.46,64.0,1.37,2.43,4.8
2500.0,1798.0,1798.0,1.0,2.0,100.0,39.0,0.72,3.44,4.8
2175.0,3167.0,3167.0,1.0,3.0,75.0,41.0,1.46,0.9,2.0
3700.0,2800.0,2800.0,1.0,3.0,101.42,50.0,0.76,1.25,2.0
3167.0,2887.0,2100.0,1.0,2.0,95.0,50.0,0.91,0.9,2.0
3865.0,1848.0,1848.0,2.0,2.0,95.0,45.0,0.48,1.25,2.0
1890.0,1152.0,1152.0,1.0,2.0,105.0,32.0,0.61,3.44,4.8
1663.0,1673.0,1190.0,1.0,2.0,95.0,35.0,1.01,0.9,2.0
2070.0,1308.0,1308.0,2.0,2.0,94.08,36.0,0.63,0.9,2.0
2500.0,2200.0,1760.0,2.0,2.0,100.0,44.0,0.88,2.43,4.8
5000.0,4500.0,4500.0,1.0,3.0,100.0,50.0,0.9,0.6,1.0
2500.0,1850.0,1850.0,1.0,2.5,100.0,41.5,0.74,0.9,2.0
3750.0,3750.0,3750.0,2.0,3.0,100.0,51.0,1.0,3.44,4.8
1150.0,1611.0,1611.0,1.0,2.0,75.0,35.0,1.4,3.44,4.8
3020.0,3432.0,3432.0,1.0,3.0,97.5,52.0,1.14,0.9,2.0
2486.0,7419.0,6619.0,2.0,4.0,95.0,57.0,2.98,1.1,2.0
2500.0,1912.0,1912.0,1.0,2.0,100.0,44.0,0.76,0.9,2.0
9800.0,3349.0,2233.0,1.0,1.0,140.0,49.0,0.34,0.5,1.0
5000.0,1250.0,850.0,2.0,1.5,100.0,14.0,0.25,0.6,1.0
2711.0,2130.0,2130.0,1.0,2.0,110.67,56.0,0.79,1.25,2.0
8498.0,30430.0,30430.0,1.0,5.0,105.0,88.0,3.58,6.02,6.5
14397.0,3130.0,3130.0,1.0,2.5,144.33,56.0,0.22,0.5,1.0
2042.0,2060.0,2060.0,1.0,2.0,100.0,50.0,1.01,0.9,2.0
1743.0,2310.0,2310.0,1.0,2.0,83.0,55.0,1.33,2.43,4.8
2500.0,2700.0,2700.0,1.0,2.0,100.0,67.42,1.08,2.43,4.8
4788.0,11748.0,11748.0,1.0,4.0,145.08,89.0,2.45,3.44,4.8
1934.0,3100.0,3100.0,1.0,3.0,100.0,55.0,1.6,1.25,2.0
2292.0,1329.0,1329.0,1.0,2.5,91.67,26.0,0.58,6.02,6.5
2731.0,1728.0,1240.0,1.0,2.0,109.25,32.0,0.63,0.9,2.0
4500.0,2238.0,1248.0,1.0,1.0,100.0,42.0,0.5,0.9,2.0
2035.0,2370.0,2370.0,1.0,3.0,103.21,41.5,1.16,0.9,2.0
1760.0,1824.0,1216.0,1.0,2.0,85.5,38.0,1.04,1.25,2.0
3500.0,3652.0,3652.0,1.0,3.0,140.0,45.08,1.04,1.25,2.0
2500.0,3576.0,2896.0,1.0,2.0,100.0,68.0,1.43,2.43,4.8
2793.0,1152.0,1152.0,1.0,2.0,156.92,32.0,0.41,3.44,4.8
4306.0,3402.0,3402.0,1.0,3.0,140.4,51.5,0.79,3.44,4.8
1718.0,2784.0,2784.0,1.0,3.0,77.2,41.7,1.62,2.43,4.8
2182.0,3324.0,3324.0,1.0,3.0,103.07,52.3,1.52,1.25,2.0
2500.0,1262.0,1262.0,1.0,1.5,100.0,35.0,0.5,0.9,2.0
2500.0,3550.0,2880.0,1.0,2.0,100.0,67.0,1.42,2.43,4.8
2500.0,2200.0,2200.0,1.0,2.0,100.0,34.0,0.88,0.9,2.0
1667.0,2160.0,1600.0,1.0,2.0,100.0,50.0,1.3,2.43,4.8
5225.0,2332.0,2332.0,2.0,2.5,100.0,24.0,0.45,0.6,1.0
2965.0,2695.0,1960.0,1.0,2.0,98.65,49.0,0.91,0.9,2.0
13742.0,41460.0,41460.0,1.0,6.0,114.42,88.0,3.02,2.43,4.8
2500.0,1860.0,1440.0,2.0,2.0,100.0,36.0,0.74,2.43,4.8
2250.0,3924.0,2664.0,1.0,2.0,90.0,60.0,1.74,0.9,2.0
2600.0,1536.0,1024.0,2.0,2.0,100.0,32.0,0.59,0.9,2.0
2625.0,1443.0,1443.0,1.0,2.0,105.0,34.0,0.55,0.9,2.0
2450.0,1260.0,1260.0,1.0,2.0,100.0,35.0,0.51,0.6,1.0
1943.0,2820.0,2820.0,1.0,3.0,97.15,47.0,1.45,3.44,4.8
1800.0,618.0,618.0,1.0,1.5,72.0,24.0,0.34,0.9,2.0
9035.0,31375.0,31375.0,1.0,5.0,120.25,95.0,3.47,6.02,6.5
2442.0,1420.0,1120.0,2.0,2.0,100.0,35.33,0.58,0.6,1.0
3217.0,2392.0,2392.0,1.0,2.0,100.0,52.0,0.74,0.6,1.0
2500.0,2540.0,2540.0,1.0,2.0,100.0,62.0,1.02,2.43,4.8
2375.0,1562.0,1104.0,2.0,2.0,95.0,26.0,0.66,0.9,2.0
2500.0,3090.0,2060.0,2.0,2.0,100.0,50.0,1.24,3.44,4.8
2035.0,6981.0,6981.0,1.0,5.0,81.42,63.0,3.43,2.43,4.8
2085.0,2801.0,2801.0,1.0,3.0,94.75,45.34,1.34,3.0,3.0
1584.0,2749.0,2749.0,1.0,3.0,95.01,57.0,1.74,1.1,2.0
2375.0,1210.0,1210.0,2.0,2.0,95.0,42.0,0.51,0.9,2.0
1800.0,1798.0,1798.0,1.0,3.0,100.0,37.0,1.0,0.6,1.0
2500.0,2432.0,1737.0,1.0,2.0,100.0,45.0,0.97,0.9,2.0
2334.0,2664.0,2664.0,1.0,3.0,100.0,39.75,1.14,0.9,2.0
2500.0,1540.0,1540.0,1.0,2.0,50.0,22.0,0.62,0.9,2.0
2742.0,1400.0,1400.0,1.0,2.0,100.0,35.0,0.51,0.9,2.0
1935.0,2237.0,1556.0,1.0,2.0,66.17,38.0,1.16,0.9,2.0
2742.0,1994.0,1994.0,1.0,2.5,100.0,35.0,0.73,1.25,2.0
2500.0,2260.0,2260.0,1.0,3.0,100.0,35.0,0.9,0.9,2.0
2500.0,2972.0,2972.0,1.0,2.0,100.0,70.0,1.19,0.9,2.0
3384.0,2950.0,2080.0,1.0,2.0,134.0,52.0,0.87,0.9,2.0
2000.0,2400.0,2400.0,1.0,3.0,100.0,40.0,1.2,3.44,4.8
935.0,2805.0,2805.0,1.0,3.0,45.84,45.84,3.0,2.43,4.8
1916.0,2351.0,1710.0,1.0,2.0,95.0,45.0,1.23,0.6,1.0
2875.0,1608.0,1608.0,2.0,2.0,114.25,40.0,0.56,0.9,2.0
2500.0,3600.0,3600.0,1.0,3.0,100.0,48.0,1.44,1.25,2.0
2500.0,1980.0,1980.0,1.0,2.0,100.0,51.0,0.79,1.25,2.0
1995.0,2761.0,2761.0,1.0,3.0,95.0,47.0,1.38,1.25,2.0
1488.0,3324.0,3324.0,1.0,3.0,31.53,23.5,2.23,3.44,4.8
2277.0,1560.0,1560.0,2.0,2.0,110.17,36.0,0.69,1.25,2.0
2188.0,2020.0,2020.0,1.0,3.0,109.42,37.0,0.92,0.9,2.0
2088.0,2061.0,2061.0,1.0,2.5,83.5,43.0,0.99,1.25,2.0
3220.0,2040.0,1360.0,1.0,2.0,92.0,34.0,0.63,0.6,1.0
